movie_title,genre,mpaa_rating,total_gross,inflation_adjusted_gross,runtime,imdb_rating,rotten_tomatoes_critic_rating,release_year,release_month
Jane Austen's Mafia,Comedy,PG-13,19843795,35668055,87.0,5.5,0.0,1998,7
The Parent Trap,Comedy,PG,66308518,119185667,128.0,1.0,86.0,1998,7
Firelight,Drama,R,784419,1409943,103.0,7.2,83.0,1998,9
Simon Birch,Drama,PG,18253415,32809442,114.0,6.9,44.0,1998,9
Holy Man,Comedy,PG,12069719,21694605,114.0,4.9,12.0,1998,10
Beloved,Drama,R,22852487,41062682,172.0,5.9,77.0,1998,10
The Waterboy,Comedy,PG-13,161491646,288691833,90.0,6.1,35.0,1998,11
I'll Be Home For Christmas,Comedy,PG,12214338,21941840,86.0,5.5,23.0,1998,11
A Bug's Life,Adventure,G,162798565,288981698,95.0,7.2,92.0,1998,11
Enemy of the State,Action,R,111549836,198472008,132.0,7.3,71.0,1998,11
Rushmore,Black Comedy,R,17105219,28392518,93.0,7.7,94.0,1998,12
A Civil Action,Drama,PG-13,56709981,94139530,115.0,6.5,60.0,1998,12
Mighty Joe Young,Adventure,PG,50632037,87906042,114.0,5.6,50.0,1998,12
My Favorite Martian,Comedy,PG,36850101,61150849,93.0,5.1,12.0,1999,2
The Other Sister,Romantic Comedy,PG-13,27807627,46145331,129.0,6.5,28.0,1999,2
Doug's 1st Movie,Adventure,G,19421271,32228598,77.0,1.0,26.0,1999,3
Ten Things I Hate About You,Romantic Comedy,PG-13,38177966,63354375,97.0,7.3,69.0,1999,3
Endurance,,PG,229128,380218,83.0,,,1999,5
Instinct,Drama,R,34105207,56595842,126.0,6.0,81.0,1999,6
Tarzan,Adventure,G,171091819,283900254,88.0,1.0,88.0,1999,6
Summer of Sam,Drama,R,19288130,32007656,142.0,6.6,74.0,1999,7
Inspector Gadget,Comedy,PG,97387965,161610341,78.0,4.1,21.0,1999,7
The Sixth Sense,Thriller/Suspense,PG-13,293506292,485424724,107.0,8.1,85.0,1999,8
The 13th Warrior,Action,R,32698899,54262148,102.0,1.0,33.0,1999,8
Breakfast of Champions,Comedy,R,178287,295851,110.0,4.6,25.0,1999,9
